line_count;en;lt;translated_text;error_code
499;Airplane disaster in Vilnius - what is known about the event?;Lėktuvo katastrofa Vilniuje – kas žinoma apie įvykį?;Lėkštuvo katastrofa Vilniuje – kas žinių apie įvyki?;13, 11, 12
500;"On Monday morning a plane crash occurred in the capital - in Liepkalnis, near Vilnius Airport, a cargo aircraft ""Boeing 737"" crashed.";Pirmadienio rytą sostinėje įvyko lėktuvo katastrofa – Liepkalnyje, netoli Vilniaus oro uosto, nukrito krovininis orlaivis „Boeing 737“.;Pagrindinis puslapis <unk> Programinė įranga <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>;16
501;One person was killed in the incident, three were injured, one of them is a Lithuanian.;Per įvykį vienas žmogus žuvo, trys sužeisti, vienas iš jų yra lietuvis.;Per įvyką vienas žmogus žuvo, trys sužeista, viena iš jos yra lietuvis.;9, 9, 9, 9
502;On Monday at 5.28 am received information that a cargo plane crashed in Liepkalnis near the house.;Pirmadienį 5.28 val. ryto gauta informacija, kad krovininis lėktuvas nukrito Liepkalnyje šalia namo.;Pirmadienį 5.28 val. ryto gauta informacija, kad krovininis lėktuvas nukritime Liepkalnyje salia nam.;11, 12, 12
503;Commercial aircraft flew to Vilnius from Leipzig, Germany.;Krovininis lėktuvas į Vilnių skrido iš Leipcigo, Vokietijos.;Krovinis lėktuvas į Vilnių skrido iš Leipcigo, Vokietija.;11, 9
504;Before the flight to Vilnius, the plane stood unused for two days, November 23-24, at Leipzig Airport.;Prieš skrydį į Vilnių lėktuvas dvi dienas, lapkričio 23–24 d., Leipcigo oro uoste stovėjo nenaudojamas, nors įprastai orlaiviu buvo skraidoma kasdien.;Prieš skrydį į Vilnių lėktuvas dvidienis, lapkričio 23<unk> 24 d., Leipcigo oro nuostos stovėjo nenaudojamas, nors įprastus orlaiviu buvo skraidoma kasdien.;13, 3, 12, 12, 11
505;Airplane crashed in Liepkalnis, at the intersection of Žirniai and Liepkalnis streets.;Lėktuvas nukrito Liepkalnyje, ties Žirnių ir Liepkalnio gatvėmis.;Lėktuvas nukrito Liepkalnyje, ties Žirnių ir Liepkalnio gatvėmis.;0
506;"Company DHL's commissioned flights were performed by an aircraft belonging to Spanish airlines ""Swiftair"".";Bendrovės DHL užsakomuosius skrydžius vykdė lėktuvas, priklausęs Ispanijos oro linijoms „Swiftair“.;Bendrovės DHL užsakius skrydžius vykdė lėktuvas, priklausantis Ispanijos oro linijoms<unk> Swiftair“.;11, 11, 12
507;In the internet, when the pilot's and flight commander's voice recording appeared, it was noticed that the conversation was completely routine, no signs of panic were recorded.;Internete pasirodžius pilotų ir skrydžio vadovo garso įrašui, pastebėta, kad pokalbis buvo visiškai rutininis, nefiksuota jokių nerimo ženklų.;Internete pasirodžiau pilotų ir skrydžio vado įrašui, pastebėtai, kad pokalbiui buvo visiškai rutininis, nefiksuotai jokių nervų ženelių.;9, 11, 3, 9, 9, 11
508;DHL informed that due to the plane crash an investigation has been started.;DHL informavo, kad dėl lėktuvo katastrofos pradėtas tyrimas.;DHL infoavo, kad lėl lėkštuvo katastrofos pradėtas tyrimas.;12, 12, 11
509;An incident occurred in the place where it was seen that the aircraft's landing gear touched down more than 100 meters away.;Incidento vietoje buvo matyti, kad orlaivio nuolaužos pažiro net 100 m atstumu.;Incidento vietoje buvo matyti, kad orlaivio nuolaužos net 100 m atstumu.;3
510;Medical staff arrived on the scene within six minutes.;Medikai į įvykio vietą atvyko per 6 minutes.;Medikai į įvyki vieto atvyko per 6 minutes.;12
511;The head of the Vilnius Emergency Medical Assistance Brigade Service Igoris Lukaševas told LRT Radio that the most serious conditions among the wounded crew members are a 54 and 40-year-old people.;Vilniaus greitosios medicinos pagalbos Išvažiuojamųjų brigadų tarnybos vadovas Igoris Lukaševas LRT RADIJUI teigė, kad iš sužeistų įgulos narių sunkiausia būklė – 54 ir 40 metų asmenų.;Vilniaus sveikatos priežiūros paslaugų agentūra Igoris Lukaševas LRT RADIJUI teisybė, kad aš išvykau su savimi įgulų narų sunkausia būklė – 54 ir 40 metų amžiaus.;13, 13, 13, 13, 3, 3, 3, 13, 13, 13, 2, 1, 9, 12, 13
512;One of them was at least for a time conscious, spoke English.;Vienas jų bent kurį laiką buvo sąmoningas, kalbėjo angliškai.;Vienų jūrų sulenktas kurį laiką buvo sąmoningas, kalbojo angliškais.;9, 13, 13, 12, 9
513;During flight, they were in the pilot's cabin.;Skrydžio metu jie buvo piloto kabinoje.;Skrydžio metu jie buvo bandomasis kabinete.;13, 9
514;Survived a 34-year-old crew member of Lithuanian nationality at the time of misfortune was in the aircraft cabin, his injuries were lighter.;Išgyvenęs 34 metų amžiaus įgulos narys lietuvis nelaimės metu buvo orlaivio salone, jo sužalojimai lengvesni.;Išgyvenęs 34 metų amžiaus įgulų narys lietuvis nelaimę meilės arlaivio salone, jo sužaliavimas lengvesni.;9, 9, 13, 4, 12, 13
515;The Mayor of Vilnius Valdas Benkunskas informed that a state of local extreme emergency would be declared in the disaster area, which would help to take care of residents, manage the territory and provide assistance.;Vilniaus meras Valdas Benkunskas informavo, kad katastrofos teritorijoje bus paskelbta lokali ekstremalioji situacija, tai padės pasirūpinti gyventojais, teritorijos tvarkymu, pagalbos teikimu.;Vilniaus mero Valdo Benkunsko informacija, kad kad kad kad katastrofos teritorijoje bus paskelbta lokali ekstremalioji situacija, tai padėtys pasirūpinti gyventojais, teritorinės medžiagos, pagalba tikimybe.;9, 9, 9, 11, 2, 2, 2, 9, 13, 9, 13
516;According to the mayor, the health of people affected by air and water pollution is not a problem.;Pasak mero, pavojaus žmonių sveikatai dėl oro, vandens užterštumo nėra.;Pasak mero, pavežaus žmonų sveikatos oro, vandens užteršimo nera.;13, 9, 4,12
517;Police department together with the General Prosecutor's Office started an investigation into the circumstances of the incident to clarify them.;Policijos departamentas kartu su Generaline prokuratūra pradėjo ikiteisminį tyrimą įvykio aplinkybėms išsiaiškinti.;Policijos departamentas kartu su Generaline prokuratūra pradejo ikiteisminį tyrimą atliekančio asmens apžvalga.;12, 13, 13, 13
518;We are investigating all possible causes of the accident.;Tiriamos visos galimos avarijos priežastys.;Tiriamos visos galimos avarijos priežastys.;0
519;The version of terrorism was not excluded, as on June 19, packages were sent from Lithuania via DHL Lietuva that exploded themselves and caused fires in logistics centers in Leipzig and Birmingham.;Terorizmo versija neatmetama, nes liepos 19 d. iš Lietuvos per „DHL Lietuva“ buvo išsiųsti savaime užsidegantys siuntiniai, jie sukėlė gaisrus logistikos centruose Leipcige ir Birmingame.;Terorizmo versija tvarkinga, nes liepos 19 d. iš Lietuvos per<unk> DHL Lietuva“ buvo išvyka į savivaldybę, jie sukėlė gaisrus logistikos centras Leipcige ir Birmingame.;13, 12, 13, 12, 13, 13, 3, 9
520;Only by chance, a cargo in Leipzig was not loaded into the aircraft.;Tik per atsitiktinumą krovinys Leipcige tuomet nebuvo pakrautas į orlaivį.;Tik per atsitiktinumą krovinys Leipcige tuomet nebuvo pakrautas į orlaivį.;0
521;There was no indication that the DHL cargo plane crash in Lithuania could be linked to a warning issued by German authorities over the summer about packages carried on planes with explosive devices.;Visgi pirmadienį popiet Vokietijos vidaus reikalų ministerijos atstovas, kurį citavo „Reuters“, teigė, kad nėra jokių požymių, kad DHL krovininio lėktuvo katastrofa Lietuvoje gali būti susijusi su Vokietijos valdžios institucijų vasarą paskelbtu įspėjimu apie lėktuvais skraidintus paketus su padegamaisiais įtaisais.;Visgi pirmadienį popiet Vokietijos vidaus reikalų ministras atstovas, kurį citavo<unk> Reuters“, teigė, kad nerą jokių požymių, kad DHL krovininio lėkštuvo katastrofa Lietuvoje gali būti sujungimai su Vokietijos valdybų institucija;11, 11, 12, 12, 13, 11, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
522;The lecturer of the Antanas Gustaitis Aviation Institute at Vilnius Gediminas Technical University (VILNIUS TECH) Vincas Šnirpūnas told LRT.lt that there may be more than one reason for such events.;Vilniaus Gedimino technikos universiteto (VILNIUS TECH) Antano Gustaičio aviacijos instituto lektorius Vincas Šnirpūnas LRT.lt teigė, kad tokių įvykių priežasčių gali būti ne viena.;Vilniaus Gedimino technikos universiteto (VILNIUS TECH) Antano Gustaičio aviacijos instituto lektorius Vincas Šnirpūnas LRT.lt teisė, kad tokių įmonių priežiūra gali būti viena.;13, 13, 13
523;However, as he says, in any case it is usually related to human error.;Anot jo, vis dėlto dažniausiai tai susiję su žmogiška klaida.;Anot jo, vis dėlto dažniausiai tai susiję su žmogiška klaida.;0
