range,en,lt,translated_text
499-523,"On Monday morning a plane crash occurred in the capital - in Liepkalnis, near Vilnius Airport, a cargo aircraft ""Boeing 737"" crashed.","Pirmadienio rytą sostinėje įvyko lėktuvo katastrofa – Liepkalnyje, netoli Vilniaus oro uosto, nukrito krovininis orlaivis „Boeing 737“.","Pirmadienį ryte sostinėje – Liepkalnyje, netoli Vilniaus oro uosto, sudužo krovininis lėktuvasBoeing 737“."
499-523,"One person was killed in the incident, three were injured, one of them is a Lithuanian.","Per įvykį vienas žmogus žuvo, trys sužeisti, vienas iš jų yra lietuvis.","Per incidentą žuvo vienas žmogus, trys buvo sužeisti, vienas iš jų – lietuvis."
499-523,On Monday at 5.28 am received information that a cargo plane crashed in Liepkalnis near the house.,"Pirmadienį 5.28 val. ryto gauta informacija, kad krovininis lėktuvas nukrito Liepkalnyje šalia namo.","Pirmadienį 5.28 val. ryto gauta informacija, kad Liepkalnyje netoli namo sudužo krovininis lėktuvas."
499-523,"Commercial aircraft flew to Vilnius from Leipzig, Germany.","Krovininis lėktuvas į Vilnių skrido iš Leipcigo, Vokietijos.","Komerciniai lėktuvai skraidė į Vilnių iš Leipcigo, Vokietijos."
499-523,"Before the flight to Vilnius, the plane stood unused for two days, November 23-24, at Leipzig Airport.","Prieš skrydį į Vilnių lėktuvas dvi dienas, lapkričio 23–24 d., Leipcigo oro uoste stovėjo nenaudojamas, nors įprastai orlaiviu buvo skraidoma kasdien.","Prieš skrydį į Vilnių lėktuvas dvi dienas, lapkričio 23-24 dienomis, Leipcigo oro uoste stovėjo nenaudojamas."
499-523,"Airplane crashed in Liepkalnis, at the intersection of Žirniai and Liepkalnis streets.","Lėktuvas nukrito Liepkalnyje, ties Žirnių ir Liepkalnio gatvėmis.","Lėktuvas sudužo Liepkalnyje, Žirnių ir Liepkalnio gatvių sankirtoje."
499-523,"Company DHL's commissioned flights were performed by an aircraft belonging to Spanish airlines ""Swiftair"".","Bendrovės DHL užsakomuosius skrydžius vykdė lėktuvas, priklausęs Ispanijos oro linijoms „Swiftair“.",DHL kompanijos užsakomuosius skrydžius atliko Ispanijos oro linijų bendroveiSwiftair“ priklausantis orlaivis.
499-523,"In the internet, when the pilot's and flight commander's voice recording appeared, it was noticed that the conversation was completely routine, no signs of panic were recorded.","Internete pasirodžius pilotų ir skrydžio vadovo garso įrašui, pastebėta, kad pokalbis buvo visiškai rutininis, nefiksuota jokių nerimo ženklų.","Internete, kai pasirodė piloto ir skrydžio vado balsas, buvo pastebėta, kad pokalbis buvo visiškai įprastas, nebuvo užfiksuota panikos požymių."
499-523,DHL informed that due to the plane crash an investigation has been started.,"DHL informavo, kad dėl lėktuvo katastrofos pradėtas tyrimas.","DHL pranešė, kad dėl lėktuvo katastrofos pradėtas tyrimas."
499-523,An incident occurred in the place where it was seen that the aircraft's landing gear touched down more than 100 meters away.,"Incidento vietoje buvo matyti, kad orlaivio nuolaužos pažiro net 100 m atstumu.","Incidentas įvyko toje vietoje, kur buvo pastebėta, kad lėktuvo važiuoklė nutūpė daugiau nei už 100 metrų."
499-523,Medical staff arrived on the scene within six minutes.,Medikai į įvykio vietą atvyko per 6 minutes.,Į įvykio vietą medikai atvyko po 6 minučių.
499-523,The head of the Vilnius Emergency Medical Assistance Brigade Service Igoris Lukaševas told LRT Radio that the most serious conditions among the wounded crew members are a 54 and 40-year-old people.,"Vilniaus greitosios medicinos pagalbos Išvažiuojamųjų brigadų tarnybos vadovas Igoris Lukaševas LRT RADIJUI teigė, kad iš sužeistų įgulos narių sunkiausia būklė – 54 ir 40 metų asmenų.","Vilniaus greitosios medicinos pagalbos brigados viršininkas Igoris Lukaševas LRT radijui sakė, kad tarp sužeistųjų yra 54 ir 40 metų amžiaus žmonių."
499-523,"One of them was at least for a time conscious, spoke English.","Vienas jų bent kurį laiką buvo sąmoningas, kalbėjo angliškai.","Vienas iš jų bent kurį laiką buvo sąmoningas, kalbėjo angliškai."
499-523,"During flight, they were in the pilot's cabin.",Skrydžio metu jie buvo piloto kabinoje.,Skrydžio metu jie buvo piloto kabinoje.
499-523,"Survived a 34-year-old crew member of Lithuanian nationality at the time of misfortune was in the aircraft cabin, his injuries were lighter.","Išgyvenęs 34 metų amžiaus įgulos narys lietuvis nelaimės metu buvo orlaivio salone, jo sužalojimai lengvesni.","Nelaimės metu lėktuvo kabinoje išgyveno 34 metų Lietuvos pilietė, jo sužalojimai buvo lengvesni."
499-523,"The Mayor of Vilnius Valdas Benkunskas informed that a state of local extreme emergency would be declared in the disaster area, which would help to take care of residents, manage the territory and provide assistance.","Vilniaus meras Valdas Benkunskas informavo, kad katastrofos teritorijoje bus paskelbta lokali ekstremalioji situacija, tai padės pasirūpinti gyventojais, teritorijos tvarkymu, pagalbos teikimu.","Vilniaus meras Valdas Benkunskas informavo, kad nelaimės zonoje bus paskelbta ekstremalioji situacija, kuri padės pasirūpinti gyventojais, valdyti teritoriją ir teikti pagalbą."
499-523,"According to the mayor, the health of people affected by air and water pollution is not a problem.","Pasak mero, pavojaus žmonių sveikatai dėl oro, vandens užterštumo nėra.","Pasak mero, oro ir vandens užterštumo paveiktų žmonių sveikata nėra problema."
499-523,Police department together with the General Prosecutor's Office started an investigation into the circumstances of the incident to clarify them.,Policijos departamentas kartu su Generaline prokuratūra pradėjo ikiteisminį tyrimą įvykio aplinkybėms išsiaiškinti.,"Policijos departamentas kartu su Generaline prokuratūra pradėjo incidento aplinkybių tyrimą, kad jas išaiškintų."
499-523,We are investigating all possible causes of the accident.,Tiriamos visos galimos avarijos priežastys.,Mes tiriame visas galimas avarijos priežastis.
499-523,"The version of terrorism was not excluded, as on June 19, packages were sent from Lithuania via DHL Lietuva that exploded themselves and caused fires in logistics centers in Leipzig and Birmingham.","Terorizmo versija neatmetama, nes liepos 19 d. iš Lietuvos per „DHL Lietuva“ buvo išsiųsti savaime užsidegantys siuntiniai, jie sukėlė gaisrus logistikos centruose Leipcige ir Birmingame.","Terorizmo versija nebuvo atmesta, nes birželio 19 d. iš Lietuvos per DHL Lietuva buvo išsiųsti paketai, kurie sprogo ir sukėlė gaisrus logistikos centruose Leipcige ir Birmingeme."
499-523,"Only by chance, a cargo in Leipzig was not loaded into the aircraft.",Tik per atsitiktinumą krovinys Leipcige tuomet nebuvo pakrautas į orlaivį.,Tik atsitiktinai Leipcige į lėktuvą nebuvo pakrautas krovinys.
499-523,There was no indication that the DHL cargo plane crash in Lithuania could be linked to a warning issued by German authorities over the summer about packages carried on planes with explosive devices.,"Visgi pirmadienį popiet Vokietijos vidaus reikalų ministerijos atstovas, kurį citavo „Reuters“, teigė, kad nėra jokių požymių, kad DHL krovininio lėktuvo katastrofa Lietuvoje gali būti susijusi su Vokietijos valdžios institucijų vasarą paskelbtu įspėjimu apie lėktuvais skraidintus paketus su padegamaisiais įtaisais.","Nebuvo jokių požymių, kad DHL krovininio lėktuvo katastrofa Lietuvoje galėtų būti siejama su Vokietijos valdžios vasarą paskelbtu perspėjimu apie lėktuvuose su sprogstamaisiais užtaisais gabenamas pakuotes."
499-523,The lecturer of the Antanas Gustaitis Aviation Institute at Vilnius Gediminas Technical University (VILNIUS TECH) Vincas Šnirpūnas told LRT.lt that there may be more than one reason for such events.,"Vilniaus Gedimino technikos universiteto (VILNIUS TECH) Antano Gustaičio aviacijos instituto lektorius Vincas Šnirpūnas LRT.lt teigė, kad tokių įvykių priežasčių gali būti ne viena.","Vilniaus Gedimino technikos universiteto (VILNIUS TECH) Antano Gustaičio aviacijos instituto dėstytojas Vincas Šnirpūnas LRT.lt teigė, kad tokių renginių gali būti ne viena priežastis."
499-523,"However, as he says, in any case it is usually related to human error.","Anot jo, vis dėlto dažniausiai tai susiję su žmogiška klaida.","Tačiau, kaip jis sako, bet kuriuo atveju tai paprastai yra susiję su žmogaus klaida."
